x_m,y_m
0.7342480884387752,-3.217267585604822
0.8302357918726616,-3.196813880881942
0.9261858143443937,-3.1762776567445936
1.0221239752420592,-3.1556619117907294
1.1180760939537455,-3.134969644618304
1.21406798986754,-3.1142038538252717
1.3101254823715311,-3.0933675380095855
1.406274390853806,-3.0724636957692
1.5025405347024519,-3.051495325702068
1.5989497333055571,-3.030465426406144
1.6955278060512091,-3.009376996479382
1.7923005723274952,-2.988233034519736
1.889293851522503,-2.967036539125159
1.9865334630243205,-2.9457905088936056
2.0840452262210354,-2.9244979424230286
2.1818549605007345,-2.9031618383113833
2.2799884852515064,-2.8817851951566222
2.3784716198614384,-2.8603710115567003
2.4773301837186175,-2.8389222861095704
2.5765899962111325,-2.8174420174131867
2.67627687672707,-2.795933204065503
2.7764166446545175,-2.7743988446644736
2.8770351193815644,-2.752841937808052
2.978158120296296,-2.7312654820941917
3.0798114667868015,-2.709672476120846
3.1721714109764743,-2.6901433140904847
3.2649234799714684,-2.670622395989107
3.358130708390804,-2.651102591029824
3.4517937126035303,-2.631589996011345
3.5459131089787,-2.61209070773238
3.6404895138853637,-2.5926108229916403
3.735523543692574,-2.5731564385878345
3.8310158147693807,-2.5537336513196722
3.9269669434848353,-2.5343485579858656
4.023377546207991,-2.5150072553851226
4.120248239307896,-2.4957158403161546
4.2175796391536045,-2.4764804095776705
4.315372362114167,-2.457307059968381
4.413627024558634,-2.438201888286996
4.5123442428560585,-2.4191709913322255
4.611524633375489,-2.4002204659027795
4.7111688124859805,-2.3813564087973678
4.811277396556582,-2.362584916814701
4.911851001956345,-2.3439120867534884
5.0128902450543205,-2.3253440154124405
5.114395742219561,-2.306886799590267
5.216368109821119,-2.2885465360856787
5.318807964228042,-2.2703293216973846
5.421715921809385,-2.2522412532240947
5.525092598934198,-2.23428842746452
5.628938611971531,-2.21647694121737
5.728899603552074,-2.199545697507888
5.823183360139535,-2.1837701373960683
5.917843248341194,-2.1681219781093306
6.012875772504155,-2.1526047876024905
6.108277436975517,-2.137222133830364
6.204044746102387,-2.1219775847477678
6.300174204231866,-2.106874708309518
6.396662315711056,-2.0919170724704297
6.4935055848870595,-2.07710824518532
6.590700516106981,-2.062451794409005
6.688243613717923,-2.0479512880963
6.786131382066984,-2.0336102942020218
6.884360325501273,-2.019432380680986
6.982926948367888,-2.0054211154880095
7.081827755013935,-1.9915800665779073
7.181059249786514,-1.9779128019054968
7.280617937032729,-1.9644228894255928
7.380500321099682,-1.9511138970930122
7.480702906334476,-1.9379893928625713
7.581222197084214,-1.9250529446890856
7.682054697695999,-1.9123081205273713
7.783196912516932,-1.899758488332245
7.884645345894117,-1.8874076160585223
7.986396502174657,-1.8752590716610193
8.088446885705652,-1.8633164230945527
8.19079300083421,-1.8515832383139377
8.293431351907428,-1.840063085273991
8.396358443272414,-1.828759531929529
8.499570779276265,-1.8176761462353668
8.60306486426609,-1.8068164961463216
8.700593519710113,-1.7968163728578732
8.797613908156604,-1.7870928196231028
8.894867397372012,-1.777569779977354
8.992349422707221,-1.768248541981247
9.09005541951312,-1.7591303936954015
9.187980823140599,-1.7502166231804386
9.286121068940542,-1.7415085184969776
9.384471592263838,-1.7330073677056397
9.483027828461374,-1.7247144588670444
9.581785212884041,-1.716631080041812
9.680739180882723,-1.7087585192905632
9.77988516780831,-1.701098064673918
9.879218609011689,-1.693651004252496
9.978734939843745,-1.686418626086918
10.07842959565537,-1.6794022182378043
10.178298011797448,-1.672603068765775
10.27833562362087,-1.6660224657314502
10.378537866476522,-1.6596616971954503
10.47890017571529,-1.6535220512183952
10.579417986688066,-1.6476048158609058
10.680086734745734,-1.6419112791836015
10.780901855239183,-1.6364427292471029
10.8818587835193,-1.6312004541120304
10.982952954936975,-1.6261857418390036
11.084179804843092,-1.6213998804886436
11.185534768588543,-1.61684415812157
11.287013281524212,-1.6125198627984034
