track_name,session_id,step_idx,sim_time_s,x,y,xdot,ydot,speed,speed_norm,psi,psidot,cross_track_error,cross_track_error_norm,heading_error,track_heading_error,battery_soc,battery_soc_norm,track_progress,v_target,v_target_norm,corner_feasible_speed,corner_feasible_speed_norm,preview_speed_limit,preview_speed_limit_norm,max_heading_change,distance_to_turn_start,distance_to_turn_start_norm,deploy_track_factor,soc_factor,brake_required,throttle_fraction,brake_fraction,F_cmd,delta_cmd,delT
raceline_xy,20260420_162323_b8e2d873,0,0.032,1.39,3.86663968016672e-15,43.43749864257607,1.3501826819132695e-05,43.43749864257816,1.8098957767740902,-3.1083343010607223e-07,-2.5096493921476523e-19,1.39,6.949999999999999,0.22688825647234445,0.8771255687394435,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-10000.0,-0.5,0.032
raceline_xy,20260420_162323_b8e2d873,1,0.064,1.3899903164959486,3.1339290003234513e-07,1e-05,9.793611364074367e-06,1.3996957653380488e-05,5.832065688908537e-07,2.7647825451282415e-07,1.835348635490859e-05,1.389990316495984,6.949951582479919,0.2268888145214465,0.8771261560511281,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.07290236796463839,1.0,0.0,9.731593308970332e-07,0.0,0.009731593308970332,-0.3359666356607144,0.032
raceline_xy,20260420_162323_b8e2d873,2,0.096,1.3899889490179738,1.6689522192661905e-06,1e-05,4.236125620296129e-05,4.352557899779078e-05,1.813565791574616e-06,6.739578237713317e-07,1.2421233524737157e-05,1.3899889490189756,6.949944745094878,0.22688922783147225,0.8771265535306974,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.0729020518770639,1.0,0.0,9.731593308970332e-07,0.0,0.009731593308970332,-0.33597305409086314,0.032
raceline_xy,20260420_162323_b8e2d873,3,0.128,1.3901572809384584,8.495718863552827e-05,0.005260613408596167,0.0026022700534999096,0.00586905979404233,0.0002445441580850971,9.26250035711007e-05,0.002873908223764298,1.3901572835344682,6.950786417672341,0.22698303845188095,0.8772185045764447,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.07280694426888626,1.0,0.0,9.731593308970332e-07,0.0,0.009731593308970332,-0.339770370339698,0.032
raceline_xy,20260420_162323_b8e2d873,4,0.16,1.3904231901727921,0.00022252210882379395,0.00831069134472713,0.004296915882307282,0.009355804440396721,0.00038982518501653004,0.00023919335859057256,0.004582695617495444,1.3904232079789136,6.952116039894568,0.22713263563627217,0.8773650729314646,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.07270873846593326,1.0,0.0,9.731593308970332e-07,0.0,0.009731593308970332,-0.3422248095972342,0.032
raceline_xy,20260420_162323_b8e2d873,5,0.192,1.390700938119822,0.0003058384042502901,0.008680633737238135,0.002600262565168218,0.009061719896790681,0.00037757166236627836,0.00038842576358133485,0.004669135078838186,1.3907009717493128,6.953504858746564,0.22728411263275783,0.8775143053364545,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.0726438222131555,1.0,0.0,9.595169103704393e-07,0.0,0.009595169103704393,-0.34237266006086875,0.032
raceline_xy,20260420_162323_b8e2d873,6,0.224,1.390929719382085,0.0003143551103494799,0.007149547652875415,0.00026253825889408216,0.007154366357555329,0.000298098598231472,0.0005047636805222133,0.0036439889066230873,1.3909297549047763,6.954648774523881,0.2274013843150371,0.8776306432533953,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.07260803724190462,1.0,0.0,9.731593308970332e-07,0.0,0.009731593308970332,-0.34109324556282244,0.032
raceline_xy,20260420_162323_b8e2d873,7,0.256,1.3910777845530369,0.0002652778012102074,0.0046261556295313045,-0.0015363207209294794,0.004874586881593296,0.000203107786733054,0.0005738253695115603,0.0021678571102860165,1.3910778098472052,6.955389049236025,0.22747021927215716,0.8776997049423851,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.07259673080377015,1.0,0.0,9.64064383879304e-07,0.0,0.00964064383879304,-0.3392720514730733,0.032
raceline_xy,20260420_162323_b8e2d873,8,0.28800000000000003,1.391153706638361,0.00019962728286830286,0.002371340955383993,-0.002052993444218147,0.0031365650015078845,0.00013069020839616186,0.0005964747570095241,0.000716910456170001,1.3911537209613836,6.955768604806917,0.22749213605159913,0.8777223543298831,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.07260049380979353,1.0,0.0,9.731593308970332e-07,0.0,0.009731593308970332,-0.33757434821648447,0.032
raceline_xy,20260420_162323_b8e2d873,9,0.32000000000000006,1.3911773853479796,0.00013885215415319928,0.0007388557436961499,-0.0018996524394830209,0.002038280451956154,8.492835216483974e-05,0.0005811766306544897,-0.00047093027546366673,1.3911773922773334,6.955886961386667,0.22747599591519174,0.8777070562035281,100.0,1.0,0.0,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,7.94800355496753,0.33116681479031373,0.8705646589507907,0.0,0.0,0.07261424677249735,1.0,0.0,9.64064383879304e-07,0.0,0.00964064383879304,-0.3362101143546621,0.032
